X,Y,date_ech,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,ObjectId
4.00443290446248,43.5930814221956,2021/05/08 00:00:00+00,3,Dégradé,#F0E641,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,243400470,CA du Pays de l'Or,1,1,3,1,1,4.00443290446248,43.5930814221956,781135,6277630,2154,21
0.865655167473261,43.7319994956273,2021/05/08 00:00:00+00,2,Moyen,#50CCAA,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,200034726,CC Bastides de Lomagne,1,1,2,1,1,0.865655167473262,43.7319994956273,528028,6294877,2154,22
3.86924453421757,43.6133727271449,2021/05/08 00:00:00+00,3,Dégradé,#F0E641,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,243400017,Montpellier Méditerranée Métropole,1,1,3,1,1,3.86924453421757,43.6133727271449,770190,6279755,2154,23
1.46309581723381,44.9072679464237,2021/05/08 00:00:00+00,2,Moyen,#50CCAA,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,200066371,CC Causses et Vallée de la Dordogne,1,1,2,1,1,1.46309581723381,44.9072679464237,578700,6424300,2154,24
3.21723921739492,43.4811117161701,2021/05/08 00:00:00+00,3,Dégradé,#F0E641,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,200071058,CC Les Avant-Monts,1,1,3,1,1,3.21723921739492,43.4811117161701,717583,6264693,2154,25
0.5707562732291,43.4983664323041,2021/05/08 00:00:00+00,2,Moyen,#50CCAA,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,200072320,CC Val de Gers,1,1,2,1,1,0.5707562732291,43.4983664323041,503476,6269610,2154,26
3.6194605731016,44.087711659926,2021/05/08 00:00:00+00,2,Moyen,#50CCAA,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,200034601,CC Causses Aigoual Cévennes,1,1,2,1,1,3.6194605731016,44.087711659926,749608,6332273,2154,27
2.12998871080858,43.7051754277007,2021/05/08 00:00:00+00,2,Moyen,#50CCAA,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,200034056,CC du Lautrécois et du Pays d'Agout,1,1,2,1,1,2.12998871080858,43.7051754277007,629860,6289958,2154,28
2.94498297198895,42.763912440556,2021/05/08 00:00:00+00,3,Dégradé,#F0E641,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,200070365,CC Corbières Salanque Méditerranée,1,1,3,1,1,2.94498297198895,42.763912440556,695492,6184931,2154,29
1.43208103555141,43.596015052683,2021/05/08 00:00:00+00,2,Moyen,#50CCAA,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,243100518,Toulouse Métropole,1,1,2,1,1,1.43208103555141,43.596015052683,573360,6278697,2154,30
2.75851241260394,42.6433532823754,2021/05/08 00:00:00+00,3,Dégradé,#F0E641,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,246600449,CC des Aspres,1,1,3,1,1,2.75851241260394,42.6433532823754,680170,6171551,2154,31
0.89809978234624,44.1076359585499,2021/05/08 00:00:00+00,2,Moyen,#50CCAA,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,248200016,CC des Deux Rives,1,1,2,1,1,0.89809978234624,44.1076359585499,531753,6336532,2154,32
3.87015313549184,43.7695961800214,2021/05/08 00:00:00+00,3,Dégradé,#F0E641,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,200022986,CC du Grand Pic Saint-Loup,1,1,3,1,1,3.87015313549184,43.7695961800214,770072,6297117,2154,33
1.74280022252918,42.7198981332849,2021/05/08 00:00:00+00,2,Moyen,#50CCAA,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,200066363,CC de la Haute Ariège,1,1,2,1,1,1.74280022252918,42.7198981332849,596904,6180855,2154,34
2.61608626211856,42.677173890723,2021/05/08 00:00:00+00,3,Dégradé,#F0E641,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,246600415,CC Roussillon-Conflent,1,1,3,1,1,2.61608626211856,42.677173890723,668493,6175359,2154,35
1.28022806322129,43.7636917850143,2021/05/08 00:00:00+00,2,Moyen,#50CCAA,2021/05/07 09:00:00+00,Atmo-Occitanie,EPCI,200071314,CC Save Garonne et Côteaux de Cadours,1,1,2,1,1,1.28022806322129,43.7636917850143,561503,6297583,2154,36
